date,adj_close,close,high,low,open,volume,symbol
2020-01-02,151.82955932617188,160.6199951171875,160.72999572753906,158.3300018310547,158.77999877929688,22622100,MSFT
2020-01-03,149.93899536132812,158.6199951171875,159.9499969482422,158.05999755859375,158.32000732421875,21116200,MSFT
2020-01-06,150.32656860351562,159.02999877929688,159.10000610351562,156.50999450683594,157.0800018310547,20813700,MSFT
2020-01-07,148.95591735839844,157.5800018310547,159.6699981689453,157.32000732421875,159.32000732421875,21634100,MSFT
2020-01-08,151.32858276367188,160.08999633789062,160.8000030517578,157.9499969482422,158.92999267578125,27746500,MSFT
2020-01-09,153.2191162109375,162.08999633789062,162.22000122070312,161.02999877929688,161.83999633789062,21385000,MSFT
2020-01-10,152.5101776123047,161.33999633789062,163.22000122070312,161.17999267578125,162.82000732421875,20725900,MSFT
2020-01-13,154.34397888183594,163.27999877929688,163.30999755859375,161.25999450683594,161.75999450683594,21626500,MSFT
2020-01-14,153.25692749023438,162.1300048828125,163.60000610351562,161.72000122070312,163.38999938964844,23477400,MSFT
2020-01-15,154.24942016601562,163.17999267578125,163.94000244140625,162.57000732421875,162.6199951171875,21417900,MSFT
2020-01-16,157.07577514648438,166.1699981689453,166.24000549316406,164.02999877929688,164.35000610351562,23865400,MSFT
2020-01-17,157.95492553710938,167.10000610351562,167.47000122070312,165.42999267578125,167.4199981689453,34371700,MSFT
2020-01-21,157.38775634765625,166.5,168.19000244140625,166.42999267578125,166.67999267578125,29517200,MSFT
2020-01-22,156.63153076171875,165.6999969482422,167.49000549316406,165.67999267578125,167.39999389648438,24138800,MSFT
2020-01-23,157.59573364257812,166.72000122070312,166.8000030517578,165.27000427246094,166.19000244140625,19680800,MSFT
2020-01-24,156.00762939453125,165.0399932861328,167.52999877929688,164.4499969482422,167.50999450683594,24918100,MSFT
2020-01-27,153.3987579345703,162.27999877929688,163.3800048828125,160.1999969482422,161.14999389648438,32078100,MSFT
2020-01-28,156.40467834472656,165.4600067138672,165.75999450683594,163.07000732421875,163.77999877929688,24899900,MSFT
2020-01-29,158.84344482421875,168.0399932861328,168.75,165.69000244140625,167.83999633789062,34754500,MSFT
2020-01-30,163.32406616210938,172.77999877929688,174.0500030517578,170.7899932861328,174.0500030517578,51597500,MSFT
2020-01-31,160.9136199951172,170.22999572753906,172.39999389648438,169.5800018310547,172.2100067138672,36142700,MSFT
2020-02-03,164.83653259277344,174.3800048828125,174.5,170.39999389648438,170.42999267578125,30107000,MSFT
2020-02-04,170.26239013671875,180.1199951171875,180.63999938964844,176.30999755859375,177.13999938964844,36433300,MSFT
2020-02-05,170.05438232421875,179.89999389648438,184.1999969482422,178.41000366210938,184.02999877929688,39186300,MSFT
2020-02-06,173.58023071289062,183.6300048828125,183.82000732421875,180.05999755859375,180.97000122070312,27751400,MSFT
2020-02-07,173.82603454589844,183.88999938964844,185.6300048828125,182.47999572753906,182.85000610351562,33529100,MSFT
2020-02-10,178.37281799316406,188.6999969482422,188.83999633789062,183.25,183.5800018310547,35844300,MSFT
2020-02-11,174.345947265625,184.44000244140625,190.6999969482422,183.5,190.64999389648438,53159900,MSFT
2020-02-12,174.60116577148438,184.7100067138672,185.85000610351562,181.85000610351562,185.5800018310547,47062900,MSFT
2020-02-13,173.65589904785156,183.7100067138672,186.22999572753906,182.8699951171875,183.0800018310547,35295800,MSFT
2020-02-14,175.20614624023438,185.35000610351562,185.41000366210938,182.64999389648438,183.25,23149500,MSFT
2020-02-18,176.98326110839844,187.22999572753906,187.6999969482422,185.5,185.61000061035156,27792200,MSFT
2020-02-19,177.51405334472656,187.27999877929688,188.17999267578125,186.47000122070312,188.05999755859375,29997500,MSFT
2020-02-20,174.8031768798828,184.4199981689453,187.25,181.10000610351562,186.9499969482422,36862400,MSFT
2020-02-21,169.2771759033203,178.58999633789062,183.5,177.25,183.1699981689453,48572600,MSFT
2020-02-24,161.9787139892578,170.88999938964844,174.5500030517578,163.22999572753906,167.77000427246094,68311100,MSFT
2020-02-25,159.30580139160156,168.07000732421875,174.83999633789062,167.64999389648438,174.1999969482422,68073300,MSFT
2020-02-26,161.29624938964844,170.1699981689453,173.25999450683594,168.2100067138672,169.7100067138672,56206100,MSFT
2020-02-27,149.9314422607422,158.17999267578125,167.02999877929688,157.97999572753906,163.32000732421875,93174900,MSFT
2020-02-28,153.56179809570312,162.00999450683594,163.7100067138672,152.0,152.41000366210938,97012700,MSFT
2020-03-02,163.7796173095703,172.7899932861328,172.9199981689453,162.30999755859375,165.30999755859375,71030800,MSFT
2020-03-03,155.93138122558594,164.50999450683594,175.0,162.25999450683594,173.8000030517578,71677000,MSFT
2020-03-04,161.65647888183594,170.5500030517578,170.6999969482422,165.6199951171875,168.49000549316406,49814400,MSFT
2020-03-05,157.599609375,166.27000427246094,170.8699951171875,165.69000244140625,166.0500030517578,47817300,MSFT
2020-03-06,153.14474487304688,161.57000732421875,163.11000061035156,156.0,162.61000061035156,72821100,MSFT
2020-03-09,142.7657012939453,150.6199951171875,157.75,150.0,151.0,70419300,MSFT
2020-03-10,152.52859497070312,160.9199981689453,161.02999877929688,152.5800018310547,158.16000366210938,65354400,MSFT
2020-03-11,145.61875915527344,153.6300048828125,157.6999969482422,151.14999389648438,157.1300048828125,56371600,MSFT
2020-03-12,131.8085174560547,139.05999755859375,153.47000122070312,138.5800018310547,145.3000030517578,93226400,MSFT
2020-03-13,150.547607421875,158.8300018310547,161.91000366210938,140.72999572753906,147.5,92727400,MSFT
2020-03-16,128.35836791992188,135.4199981689453,149.35000610351562,135.0,140.0,87905900,MSFT
2020-03-17,138.9269256591797,146.57000732421875,147.5,135.0,140.0,81059800,MSFT
2020-03-18,133.0786590576172,140.39999389648438,146.0,135.02000427246094,138.0,81593200,MSFT
2020-03-19,135.26821899414062,142.7100067138672,150.14999389648438,139.0,142.77000427246094,85922700,MSFT
2020-03-20,130.18771362304688,137.35000610351562,147.10000610351562,135.86000061035156,146.0,84866200,MSFT
2020-03-23,128.88912963867188,135.97999572753906,140.57000732421875,132.52000427246094,137.00999450683594,78975200,MSFT
2020-03-24,140.60459899902344,148.33999633789062,149.60000610351562,141.27000427246094,143.75,82516700,MSFT
2020-03-25,139.25863647460938,146.9199981689453,154.3300018310547,144.44000244140625,148.91000366210938,75638200,MSFT
2020-03-26,147.96949768066406,156.11000061035156,156.66000366210938,148.3699951171875,148.39999389648438,64568100,MSFT
2020-03-27,141.8937225341797,149.6999969482422,154.88999938964844,149.1999969482422,151.75,57042300,MSFT
2020-03-30,151.8745574951172,160.22999572753906,160.60000610351562,150.00999450683594,152.44000244140625,63420300,MSFT
