date,adj_close,close,high,low,open,volume,symbol,daily_return,return_lag_1,return_lag_2,return_lag_3,moving_average_5,moving_average_10,volatility_5,volatility_10,close_to_ma_5,close_to_ma_10,volume_change,target
2020-01-16,75.91984558105469,78.80999755859375,78.92500305175781,78.02249908447266,78.39749908447266,108829200,AAPL,0.012526478905240834,-0.004285519922216707,-0.013503277683875936,0.02136437073337283,78.32749786376954,76.87474899291992,0.013708809407491382,0.012766472306840035,1.0061600294658128,1.0251740472785422,-0.10739840359044517,1
2020-01-17,76.76036071777344,79.68250274658203,79.68499755859375,78.75,79.06749725341797,137816400,AAPL,0.011070996257037002,0.012526478905240834,-0.004285519922216707,-0.013503277683875936,78.74749908447265,77.4072494506836,0.014044084584461318,0.011770577944320805,1.0118734394486153,1.0293932843763944,0.26635498561047943,0
2020-01-21,76.24016571044922,79.14250183105469,79.75499725341797,79.0,79.29750061035156,110843200,AAPL,-0.006776907061324833,0.011070996257037002,0.012526478905240834,-0.004285519922216707,78.72799987792969,77.82649993896484,0.01146650335478583,0.01253492497133943,1.0052649877269548,1.0169094317889398,-0.19571836153026778,1
2020-01-22,76.5123062133789,79.42500305175781,79.99749755859375,79.32749938964844,79.6449966430664,101832400,AAPL,0.003569526034268966,-0.006776907061324833,0.011070996257037002,0.012526478905240834,78.97900085449218,78.30924987792969,0.00872699599233904,0.012048215072147211,1.0056470985001105,1.0142480380742682,-0.08129321419807445,1
2020-01-23,76.88078308105469,79.80750274658203,79.88999938964844,78.9124984741211,79.4800033569336,104472000,AAPL,0.004815859995308536,0.003569526034268966,-0.006776907061324833,0.011070996257037002,79.37350158691406,78.71025009155274,0.007652974913101781,0.011553796547047149,1.0054678343652603,1.013940403616467,0.025921023171407098,0
2020-01-24,76.65922546386719,79.57749938964844,80.8324966430664,79.37999725341797,80.0625,146537600,AAPL,-0.002881976618964499,0.004815859995308536,0.003569526034268966,-0.006776907061324833,79.527001953125,78.92724990844727,0.006955843667179562,0.01028805795781903,1.0006349722142576,1.0082385929061946,0.40264951374530966,0
2020-01-27,74.40501403808594,77.23750305175781,77.94249725341797,76.22000122070312,77.51499938964844,161940000,AAPL,-0.029405250929448234,-0.002881976618964499,0.004815859995308536,0.003569526034268966,79.03800201416016,78.8927505493164,0.013843752575518595,0.014492244013250059,0.9772198320235908,0.9790190164998255,0.10510885943266435,1
2020-01-28,76.50990295410156,79.42250061035156,79.5999984741211,78.04750061035156,78.1500015258789,162234000,AAPL,0.02828933448469395,-0.029405250929448234,-0.002881976618964499,0.004815859995308536,79.09400177001953,78.9110008239746,0.020647911648285486,0.015755549973832883,1.0041532712086967,1.0064819832600773,0.001815487217488032,1
2020-01-29,78.11144256591797,81.08499908447266,81.9625015258789,80.34500122070312,81.11250305175781,216229200,AAPL,0.020932336067801982,0.02828933448469395,-0.029405250929448234,-0.002881976618964499,79.4260009765625,79.20250091552734,0.022583185568469496,0.016151471701894418,1.020887342778339,1.0237681657420525,0.3328229594289729,0
2020-01-30,77.99822998046875,80.96749877929688,81.02249908447266,79.6875,80.13500213623047,126743200,AAPL,-0.0014491004070108504,0.020932336067801982,0.02828933448469395,-0.029405250929448234,79.65800018310547,79.51575088500977,0.02272424055506713,0.016018342139764274,1.016439009179007,1.018257362574448,-0.41384789843369907,0
2020-01-31,74.53990173339844,77.37750244140625,80.66999816894531,77.07250213623047,80.23249816894531,199588400,AAPL,-0.04433873334381144,-0.0014491004070108504,0.020932336067801982,0.02828933448469395,79.21800079345704,79.37250137329102,0.03136972352934456,0.02175038894553124,0.9767666649799777,0.974865363981636,0.5747464163757898,0
2020-02-03,74.33517456054688,77.16500091552734,78.37249755859375,75.55500030517578,76.07499694824219,173788400,AAPL,-0.0027462960056099384,-0.04433873334381144,-0.0014491004070108504,0.020932336067801982,79.20350036621093,79.12075119018554,0.028345722360907884,0.0212887613988088,0.974262508080347,0.9752814496167119,-0.1292660294886877,1
2020-02-04,76.78927612304688,79.7125015258789,79.91000366210938,78.40750122070312,78.82749938964844,136616400,AAPL,0.03301367951955725,-0.0027462960056099384,-0.04433873334381144,-0.0014491004070108504,79.26150054931641,79.17775115966796,0.029570988042757738,0.024044457192448736,1.0056900383343346,1.0067537958375778,-0.21389229660897968,1
2020-02-05,77.41543579101562,80.36250305175781,81.19000244140625,79.73750305175781,80.87999725341797,118826800,AAPL,0.008154323518098083,0.03301367951955725,-0.0027462960056099384,-0.04433873334381144,79.11700134277343,79.27150115966796,0.027933444878693668,0.024142832156418808,1.015742529264832,1.013762851417338,-0.13021569884728335,1
2020-02-06,78.32095336914062,81.30249786376953,81.30500030517578,80.06500244140625,80.64250183105469,105425600,AAPL,0.011696932976394514,0.008154323518098083,0.03301367951955725,-0.0027462960056099384,79.18400115966797,79.42100067138672,0.028548197055969178,0.02434698750351741,1.0267541002358518,1.0236901723281946,-0.11277927201607718,0
2020-02-07,77.25636291503906,80.00749969482422,80.8499984741211,79.5,80.59249877929688,117684000,AAPL,-0.015928147387491265,0.011696932976394514,0.008154323518098083,0.03301367951955725,79.71000061035156,79.4640007019043,0.018170472835947006,0.02498632526430277,1.0037322679989293,1.006839562419702,0.11627536385849346,1
2020-02-10,77.62330627441406,80.38749694824219,80.38749694824219,78.4625015258789,78.54499816894531,109348800,AAPL,0.0047495204183034545,-0.015928147387491265,0.011696932976394514,0.008154323518098083,80.35449981689453,79.77900009155273,0.01747804636935207,0.02261744219745127,1.000410644474458,1.0076272810638283,-0.07082696033445501,0
2020-02-11,77.15496063232422,79.90249633789062,80.9749984741211,79.67749786376953,80.9000015258789,94323200,AAPL,-0.006033284139495332,0.0047495204183034545,-0.015928147387491265,0.011696932976394514,80.39249877929687,79.82699966430664,0.01134220376721789,0.021116408518653693,0.9939048736033015,1.000945753615963,-0.137409829828951,1
2020-02-12,78.98722076416016,81.80000305175781,81.80500030517578,80.36750030517578,80.36750030517578,113730400,AAPL,0.023747777614394394,-0.006033284139495332,0.0047495204183034545,-0.015928147387491265,80.67999877929688,79.89850006103515,0.015386296892003241,0.021431006617161467,1.0138820561403916,1.0237989823247005,0.20575213733206676,0
2020-02-13,78.42475128173828,81.21749877929688,81.55500030517578,80.8375015258789,81.04750061035156,94747600,AAPL,-0.007121078859769314,0.023747777614394394,-0.006033284139495332,0.0047495204183034545,80.66299896240234,79.92350006103516,0.015225493029450057,0.02158011493779844,1.0068742772278154,1.0161904660991263,-0.16691051820797254,1
